39.375,30.9375,45,33.75
42.1875,32.3438,45,33.75
33.75,28.125,39.375,30.9375
36.5625,28.125,39.375,29.5312
39.375,28.125,45,30.9375
39.375,29.5312,42.1875,30.9375
22.5,22.5,33.75,28.125
28.125,22.5,33.75,25.3125
30.9375,23.9062,33.75,25.3125
30.9375,22.5,33.75,23.9062
33.75,22.5,45,28.125
33.75,25.3125,39.375,28.125
33.75,25.3125,36.5625,26.7188
45,22.5,90,45
45,33.75,67.5,45
45,39.375,56.25,45
50.625,39.375,56.25,42.1875
53.4375,39.375,56.25,40.7812
56.25,39.375,67.5,45
56.25,42.1875,61.875,45
59.0625,43.5938,61.875,45
56.25,39.375,61.875,42.1875
56.25,40.7812,59.0625,42.1875
45,33.75,56.25,39.375
45,36.5625,50.625,39.375
47.8125,36.5625,50.625,37.9688
50.625,36.5625,56.25,39.375
50.625,37.9688,53.4375,39.375
45,33.75,50.625,36.5625
47.8125,35.1562,50.625,36.5625
45,33.75,47.8125,35.1562
67.5,33.75,90,45
45,22.5,67.5,33.75
67.5,22.5,90,33.75
0,0,45,22.5
0,11.25,22.5,22.5
11.25,11.25,22.5,16.875
16.875,14.0625,22.5,16.875
19.6875,14.0625,22.5,15.4688
16.875,11.25,22.5,14.0625
16.875,11.25,19.6875,12.6562
22.5,11.25,45,22.5
22.5,16.875,33.75,22.5
22.5,19.6875,28.125,22.5
25.3125,19.6875,28.125,21.0938
28.125,19.6875,33.75,22.5
28.125,21.0938,30.9375,22.5
22.5,16.875,28.125,19.6875
25.3125,18.2812,28.125,19.6875
22.5,16.875,25.3125,18.2812
22.5,11.25,33.75,16.875
22.5,14.0625,28.125,16.875
22.5,15.4688,25.3125,16.875
0,0,22.5,11.25
11.25,5.625,22.5,11.25
11.25,8.4375,16.875,11.25
14.0625,8.4375,16.875,9.84375
11.25,5.625,16.875,8.4375
11.25,7.03125,14.0625,8.4375
11.25,5.625,14.0625,7.03125
0,0,11.25,5.625
5.625,2.8125,11.25,5.625
8.4375,4.21875,11.25,5.625
8.4375,2.8125,11.25,4.21875
5.625,0,11.25,2.8125
5.625,1.40625,8.4375,2.8125
5.625,0,8.4375,1.40625
22.5,0,45,11.25
45,0,90,22.5
45,11.25,67.5,22.5
67.5,11.25,90,22.5
45,0,67.5,11.25
67.5,0,90,11.25
90,0,180,45
90,22.5,135,45
90,33.75,112.5,45
112.5,33.75,135,45
90,22.5,112.5,33.75
112.5,22.5,135,33.75
135,22.5,180,45
135,33.75,157.5,45
157.5,33.75,180,45
135,22.5,157.5,33.75
157.5,22.5,180,33.75
90,0,135,22.5
90,11.25,112.5,22.5
112.5,11.25,135,22.5
90,0,112.5,11.25
112.5,0,135,11.25
135,0,180,22.5
135,11.25,157.5,22.5
157.5,11.25,180,22.5
135,0,157.5,11.25
157.5,0,180,11.25
-180,-90,0,0
-180,-45,-90,0
-180,-22.5,-135,0
-180,-11.25,-157.5,0
-157.5,-11.25,-135,0
-180,-22.5,-157.5,-11.25
-157.5,-22.5,-135,-11.25
-135,-22.5,-90,0
-135,-11.25,-112.5,0
-112.5,-11.25,-90,0
-135,-22.5,-112.5,-11.25
-112.5,-22.5,-90,-11.25
-180,-45,-135,-22.5
-180,-33.75,-157.5,-22.5
-157.5,-33.75,-135,-22.5
-180,-45,-157.5,-33.75
-157.5,-45,-135,-33.75
-135,-45,-90,-22.5
-135,-33.75,-112.5,-22.5
-112.5,-33.75,-90,-22.5
-135,-45,-112.5,-33.75
-112.5,-45,-90,-33.75
-90,-45,0,0
-90,-22.5,-45,0
-90,-11.25,-67.5,0
-67.5,-11.25,-45,0
-90,-22.5,-67.5,-11.25
-67.5,-22.5,-45,-11.25
-45,-22.5,0,0
-45,-11.25,-22.5,0
-22.5,-11.25,0,0
-11.25,-5.625,0,0
-11.25,-11.25,0,-5.625
-5.625,-8.4375,0,-5.625
-2.8125,-7.03125,0,-5.625
-5.625,-8.4375,-2.8125,-7.03125
-11.25,-11.25,-5.625,-8.4375
-8.4375,-11.25,-5.625,-9.84375
-5.625,-11.25,0,-8.4375
-5.625,-9.84375,-2.8125,-8.4375
-45,-22.5,-22.5,-11.25
-22.5,-22.5,0,-11.25
-22.5,-16.875,-11.25,-11.25
-16.875,-16.875,-11.25,-14.0625
-14.0625,-16.875,-11.25,-15.4688
-11.25,-16.875,0,-11.25
-11.25,-14.0625,-5.625,-11.25
-8.4375,-12.6562,-5.625,-11.25
-11.25,-14.0625,-8.4375,-12.6562
-11.25,-16.875,-5.625,-14.0625
-22.5,-22.5,-11.25,-16.875
-16.875,-19.6875,-11.25,-16.875
-16.875,-18.2812,-14.0625,-16.875
-16.875,-19.6875,-14.0625,-18.2812
-22.5,-22.5,-16.875,-19.6875
-19.6875,-21.0938,-16.875,-19.6875
-90,-45,-45,-22.5
-90,-33.75,-67.5,-22.5
-67.5,-33.75,-45,-22.5
-90,-45,-67.5,-33.75
-67.5,-45,-45,-33.75
-56.25,-39.375,-45,-33.75
-56.25,-45,-45,-39.375
-50.625,-42.1875,-45,-39.375
-47.8125,-40.7812,-45,-39.375
-50.625,-42.1875,-47.8125,-40.7812
-56.25,-45,-50.625,-42.1875
-53.4375,-43.5938,-50.625,-42.1875
-56.25,-45,-53.4375,-43.5938
-45,-45,0,-22.5
-45,-33.75,-22.5,-22.5
